date,year,month,week,facebook_ads_spend,google_search_clicks,display_impressions,influencer_spend,affiliate_clicks,weekly_sales_units
2022-01-02,2022,1,52,1639.3156635028852,153.20522096878756,750169.2385765795,643.7344375441013,19237.498512737606,1270.6740971601766
2022-01-09,2022,1,1,2195.607552223496,91.29430115444117,481644.3276352624,59.85552044943247,19609.221214824836,1068.384088003677
2022-01-16,2022,1,2,3846.103260086551,337.8726657200454,189471.2696697956,1022.0091002640042,29749.121592584223,1692.3033025699342
2022-01-23,2022,1,3,1244.688846252804,152.8053162131472,363489.76746906864,434.05522811465914,20673.011767307682,1406.7866279647221
2022-01-30,2022,1,4,2093.649783898443,268.1162428083851,608097.2007830298,877.5426324623361,19109.355471758445,1324.1993407374969
2022-02-06,2022,2,5,1017.6913184207143,415.66157801018215,1479444.7808458176,490.5056257792602,23320.50620619055,1408.718416629953
2022-02-13,2022,2,6,349.56835763025765,422.3430970258361,150174.6439591027,1184.2196803996435,23205.629892299254,1219.4001975049775
2022-02-20,2022,2,7,296.4737385347269,181.08310294282947,229638.38897512382,1092.8277080731934,24608.594665690667,1156.3574919910834
2022-02-27,2022,2,8,4920.343359809552,97.58739913775612,549447.5213782395,849.134654285754,30026.056640356408,1425.031833055043
2022-03-06,2022,3,9,236.8942433707885,473.5987498626191,1283697.0858551129,742.2155640050368,25574.14837212207,1514.0378162834122
2022-03-13,2022,3,10,1923.7940939348307,111.91104590374883,757035.717274294,652.2292893986565,25196.736283565715,1420.6207248282485
2022-03-20,2022,3,11,901.5934762449479,240.41387937886338,1073878.3193310436,368.7315503364707,21197.735428339594,1060.9639615866529
2022-03-27,2022,3,12,1160.9746976297392,56.98624263528703,529201.4815692813,54.94856946447736,26630.08264047387,1492.9971296066567
2022-04-03,2022,4,13,1173.1881437454465,189.74060002635198,344269.32065505045,273.90952101215396,21746.411993281075,1499.4538154542583
2022-04-10,2022,4,14,4167.067470279146,170.16048593001298,1143869.9898882138,471.00634654994315,19109.024707016608,1448.9744656722874
2022-04-17,2022,4,15,714.510346804328,102.19943740343285,298852.54045660805,1335.5070462905262,26075.642407053336,1315.8210064086422
2022-04-24,2022,4,16,248.13120022986618,245.36444380771636,367035.46367223555,498.85546749407825,18273.410855755385,1639.0668275792896
2022-05-01,2022,5,17,1703.125792339889,190.63944177092148,334578.96246252966,699.5068714279965,18133.534899794493,1273.5024949159629
2022-05-08,2022,5,18,1091.1137605353842,117.84630417157855,349399.7218612145,835.3842046943179,21286.668147592496,1267.385278356331
2022-05-15,2022,5,19,902.4499665986606,170.6819445500262,366871.6001233388,444.8849769777553,25279.259497887506,1313.5994878110935
2022-05-22,2022,5,20,2437.4714590622443,200.52578202405476,447313.8789890938,529.8159942126231,25497.381627272607,1156.9720675050635
2022-05-29,2022,5,21,1855.3523182153642,226.57511136761838,413550.77982799,315.40973135774755,27262.444062609906,1452.6843594601978
