date,year,month,week,tv_grps,digital_video_impressions,paid_search_clicks,radio_spend,ooh_impressions,print_newspaper_circulation,weekly_sales_units
2020-01-05,2020,1,1,119.13498214927931,101023.04885368336,38297.31201719235,137.24065281484033,62378.77085842999,212374.55911316877,4002.841877178219
2020-01-12,2020,1,2,150.4184838674114,140991.03990376668,26228.883367692128,373.3135595400685,23620.429832749036,162511.98018692882,5330.027212581549
2020-01-19,2020,1,3,152.8529686842491,74967.78801270484,18436.026009991176,371.5600165688984,37099.924445341465,222073.9810525177,7295.743374730196
2020-01-26,2020,1,4,110.81197858232494,54311.58695307283,29213.830286447475,493.7719197030023,48318.193853403405,239593.4094686204,8994.220502409235
2020-02-02,2020,2,5,136.01870897330247,133699.62772307257,17978.417233659908,246.01532817535855,43747.71985784619,163702.8022294544,9338.41255699117
2020-02-09,2020,2,6,138.029632631451,303466.8332503604,36551.13762676404,702.9587723104952,43466.158797716074,254384.03675717066,10913.688169922292
2020-02-16,2020,2,7,117.20269430092193,202565.4808091549,37062.07185812233,311.5093249262777,51276.51749061603,236055.77320869712,11642.05760241762
2020-02-23,2020,2,8,121.78427065043367,110797.65721447229,25882.49549121717,276.01701234843387,47561.13532252461,196112.03856141286,12020.531753985422
2020-03-01,2020,3,9,140.22430100637553,389624.9088105935,12796.367726373255,451.4633347522262,53422.444957566564,186388.65807149108,12415.435565142223
2020-03-08,2020,3,10,107.77220127891978,74808.88965889577,32968.37043682496,551.5600476020254,55074.158301284326,183557.27416680503,12298.178594828636
2020-03-15,2020,3,11,107.8968310241108,94408.61548095556,30075.095162882182,454.94059192737535,36046.19330966276,170633.18250896476,12316.588737072274
2020-03-22,2020,3,12,81.79908983002298,284778.59030726366,20171.702557879602,478.4611089682187,43231.213424931244,233916.682690914,12658.435974145676
2020-03-29,2020,3,13,113.77820649804106,297449.7200630192,25909.52347565791,340.94485116881486,61707.94373286864,164466.19195726057,12568.690387210714
2020-04-05,2020,4,14,145.370703343442,97261.90519642722,52071.0700865376,512.9789387630228,50802.49275395106,179293.02838824876,12616.253732064613
2020-04-12,2020,4,15,164.78100362232337,146690.62685101424,19776.81403473037,18.287928293591587,58410.724556749796,152721.91093043023,12613.170347289686
2020-04-19,2020,4,16,144.46359045190275,205776.23818257463,13926.702939818451,612.078866108412,50239.81901147362,222735.88936841954,12886.911957400522
2020-04-26,2020,4,17,130.2398651747362,253643.71740117634,10588.49025227173,351.43221139349663,43053.78469217834,171640.30384734838,12597.518062268815
2020-05-03,2020,5,18,151.6445235369319,174770.4340797166,54460.276550457726,598.7585390231477,56071.7817866827,211230.92495540742,13064.189585869937
2020-05-10,2020,5,19,140.99955897942738,158032.09921897433,30602.1450706951,370.628003908875,54386.2386117965,268358.46277267707,13710.862932471551
2020-05-17,2020,5,20,186.93338222253254,130924.32988830871,23471.81815562238,666.2917604292397,44339.73612147815,183279.76407049477,13545.294190799314
2020-05-24,2020,5,21,55.47502480307341,321957.6908596124,34226.29035451785,323.8825709048423,43026.402635372855,304769.6670475352,14534.440937637628
2020-05-31,2020,5,22,116.95468836146244,148455.4078744198,49942.47804595618,944.3727819427904,41829.03453315804,169875.9079328919,13911.661955774629
2020-06-07,2020,6,23,137.34784195785534,272118.0664756052,40070.64427068319,478.3767202932571,72130.81425018956,209829.1607297529,14191.001014120518
2020-06-14,2020,6,24,136.5534721242509,139939.26733785323,19005.252161610726,796.5073333835919,54760.96954432428,169749.87215699448,14045.98714032327
2020-06-21,2020,6,25,94.51627293094157,308713.6477289693,11396.21805742211,84.44467374007296,59523.80787616832,156744.5976671862,13409.467204668754
2020-06-28,2020,6,26,153.92456032027985,230775.5190575086,39438.11293535157,89.25071720853649,61130.514308249854,181738.9732071877,13316.935736695226
2020-07-05,2020,7,27,86.70797423673672,216396.88002292518,60127.9925322466,311.04030522488796,50558.10592152957,193928.46937896157,13413.444942818505
2020-07-12,2020,7,28,125.68886497978602,262885.8134036877,44159.50701275019,313.23516513320385,52739.627909935196,208112.9113288858,13564.088108863212
2020-07-19,2020,7,29,99.84119910879048,115372.93432517261,14424.731816561325,370.0506757153864,69782.77881228268,153602.30630256768,13210.418358309114
2020-07-26,2020,7,30,164.95585981667773,107440.26276244753,61899.1531111368,280.3697329904586,64499.83883584254,251617.90476118412,13999.916544287667
2020-08-02,2020,8,31,70.39259304915305,234028.32269860271,49388.324765538615,177.48484242120205,45274.45941217266,275150.6513351385,14632.648084139311
2020-08-09,2020,8,32,108.78269878625485,83184.81742371552,13479.78739214655,731.9615708254003,54669.94755956092,198609.8599917591,14453.64308104189
2020-08-16,2020,8,33,92.53664465590894,213368.8588841378,16221.357297075216,242.98364827308686,47547.07989364586,255751.63653020142,14636.846910132852
2020-08-23,2020,8,34,146.83055267657434,70694.33084279676,26177.091495074557,130.60377965002414,38251.64451708882,271260.4429703121,15058.774592817928
2020-08-30,2020,8,35,175.18992071659116,234998.50511338495,12896.849793894015,362.83348857266617,57184.191149760896,222706.82232394535,15036.489192485926
2020-09-06,2020,9,36,157.25545157794653,383137.7510544759,34523.53447073104,174.49536728259892,29747.61672469473,205021.9366527964,14438.517897847845
2020-09-13,2020,9,37,120.76855667527948,133565.29287234676,61280.29203302385,380.0877445689465,43303.29486357363,165477.78594565936,13858.384526927792
2020-09-20,2020,9,38,145.8831213475149,124345.93334081575,12139.620031234965,306.57926684568,51264.34920798204,201368.70481493653,13781.332725622875
