date,year,month,week,tv_grps,digital_impressions,social_media_spend,search_spend,ooh_impressions,radio_grps,print_spend,influencer_spend,weekly_sales_units
2022-01-02,2022,1,52,314.2083868552548,134229.97602854675,24981.32944788707,17324.958357533018,38441.49919494558,233.33137616003472,7105.084814743242,1530.777426459846,7192.84802619195
2022-01-09,2022,1,1,227.37472179147036,202180.01571316257,19796.434220316783,13382.063617432172,57964.52550663715,116.00976609654022,8917.159749493732,4332.182608908553,12209.770574614147
2022-01-16,2022,1,2,442.2859311495374,145837.57498423825,24555.436064206027,16465.868137779813,41884.49439131895,74.56037764804685,9828.467205010418,4048.8016576024643,12783.596477125026
2022-01-23,2022,1,3,153.43670748750446,195617.02696674308,22612.778333360446,14252.439446288912,26938.111873241647,52.67376630162184,7564.082508676236,4219.204767319766,14191.504445193135
2022-01-30,2022,1,4,54.095892082950805,303991.0530332207,21066.439295393033,11227.597783383148,27587.1780219899,173.15526369388533,10700.423680844251,4408.6084323767955,17932.208993607343
2022-02-06,2022,2,5,406.8689749623842,190966.7223192353,21875.0112204539,15943.452595727891,9588.598921276587,166.47661222995674,10703.1292786444,5139.236474939657,15931.3245497754
2022-02-13,2022,2,6,437.5532236678478,129904.02919464497,18570.57254791705,17476.222470243338,31971.99343924631,55.409981212541254,15221.294088671115,14187.293743073476,13940.853062334629
2022-02-20,2022,2,7,893.1411497672186,257384.631441784,14650.911841832747,11816.066895945336,32919.355734123084,58.81296661192926,9048.682551612914,5693.039840442563,16467.074647464273
2022-02-27,2022,2,8,224.96070637035896,145708.21199768526,29485.398090345334,19296.973545362845,11319.371535318296,72.11926675743557,8341.312663128523,11043.617086450728,14493.75936354283
2022-03-06,2022,3,9,806.6082988968365,133555.2484409919,16375.614844180307,16872.640981884033,33222.89872380847,94.42456479936072,6626.6509609636,12827.888368233775,13318.158487354876
2022-03-13,2022,3,10,303.35403324483696,113667.11231347054,22513.020775720488,17493.22479163753,25164.495212703947,36.74231334942469,15139.985143759026,12641.060969375012,12403.84475393548
2022-03-20,2022,3,11,342.7897515550306,210317.15883356257,23477.08521205983,16129.193471849347,22185.385728119294,55.54291987238478,5654.6973415023585,13560.807044228539,14778.50598611
2022-03-27,2022,3,12,763.3717070152694,182120.46645610753,28853.35305228815,20713.343191288048,8626.841380578984,82.97038572596117,12437.264742776046,5257.883962037554,14756.547552809025
2022-04-03,2022,4,13,59.93626514013393,164511.0120156803,26148.885309992907,9198.335892338815,20525.84936730174,35.61738961360802,9871.790905965034,7845.541058751759,13921.54263566538
2022-04-10,2022,4,14,286.21455352205805,255431.96048837,19705.660330229875,16321.831427420577,14847.248793067054,120.50496586428399,2814.3197064156984,6797.290559337865,16204.039048805264
2022-04-17,2022,4,15,157.7923651795102,118695.30957279948,25103.90008982488,8340.12856145761,7382.912767747285,114.56650327548816,10870.597079616602,5447.158569945741,12697.027337176161
2022-04-24,2022,4,16,63.0815156836639,95423.25934730007,25004.028939091426,12254.70444373742,38649.10028456096,203.1369475887428,7399.86902226973,6083.451631319797,11296.664962999412
2022-05-01,2022,5,17,434.5591202873899,139966.71639656523,15208.540453811094,12968.546912860704,27614.070777678793,67.59992811977483,8787.947146755942,8578.534945021886,11862.953773365365
2022-05-08,2022,5,18,206.20465860232142,129833.81534209767,26640.98379925579,18872.680597409362,27791.684856322932,36.28889142841363,13394.240600923393,7478.591715127165,12318.21758733914
2022-05-15,2022,5,19,129.32192505119147,179951.70770757864,16109.355596427065,11947.039337555232,13978.57303032157,35.38010167089189,11725.687433917152,10074.514549503605,13313.218095376462
2022-05-22,2022,5,20,622.6461358085337,88274.05300912958,33280.061534635075,11233.812333135375,34588.32324995271,84.58061135724944,14095.790473789733,6205.034309023138,11671.066989541216
2022-05-29,2022,5,21,440.6123698129504,85523.34909931377,24816.71264454974,14920.626945252656,37764.35917206531,119.64555421907362,13036.589805221523,2798.7525129358564,10941.786916190236
2022-06-05,2022,6,22,155.84626377247437,45788.20831198439,25164.73299475522,22267.972200234315,8312.894065023484,14.025534644838306,5966.77146366599,8348.226050211164,9243.659129941583
2022-06-12,2022,6,23,100.16940441782998,285880.1418411016,18561.54425773518,19514.30314308338,14088.917398405387,60.19105753407934,9008.052604864266,6355.282221068578,15420.104221728456
2022-06-19,2022,6,24,41.10737305871515,112272.69851911115,14817.290533937867,6112.330296027064,28579.42038312725,46.313804737661684,8052.040751862887,9105.657096331157,12391.790492237315
2022-06-26,2022,6,25,101.4326043739582,239992.6046546335,22384.615567014305,9855.22230459932,13687.103186766048,325.08291122172835,7571.19339375345,33473.802456951846,15783.112950272316
2022-07-03,2022,7,26,260.0230949116332,147509.7557992396,24185.11612192591,23154.173902960916,24981.71206273354,31.482272682621254,13689.837692581294,17547.08127352609,14693.228564557941
2022-07-10,2022,7,27,339.4526388461409,123417.65780471599,26181.274954978162,12112.353895539087,35988.92346727322,140.42057958285375,2459.9451228675393,13081.464749347095,13150.231459734652
2022-07-17,2022,7,28,620.7470079318163,84930.52194301844,21728.32684995297,14027.434502027423,32936.79221481106,290.7650763193272,10128.341014821634,11225.280360488146,11427.160976674266
2022-07-24,2022,7,29,459.0410733046692,274441.6621257163,26079.31099840704,14912.119638354721,12257.309001731053,178.89803317194344,12318.243922405049,14277.434709749961,16309.110231295675
2022-07-31,2022,7,30,191.44964393513752,364457.7429325874,17025.13349388818,7435.048208939124,28183.12030161895,24.656596949129366,6223.654514112462,8643.903593448447,20461.869364776863
